created_at,trend,adjusted_close
2016-11-01,0.0,726.76
2016-11-02,0.0,733.51
2016-11-03,0.0,684.87
2016-11-04,0.0,702.08
2016-11-06,0.0,709.91
2016-11-07,0.0,705.4
2016-11-09,0.0,721.42
2016-11-10,0.0,714.57
2016-11-12,0.001,704.27
2016-11-14,0.0,704.56
2016-11-15,0.0,711.1
2016-11-18,0.0,746.96
2016-11-20,0.0,728.51
2016-11-21,0.014,736.19
2016-11-22,0.006,749.34
2016-11-23,0.003,741.07
2016-11-24,0.005,735.31
2016-11-25,0.002,740.39
2016-11-28,0.038,733.3
2016-11-29,0.004,732.56
2016-11-30,0.001,742.49
2016-12-01,0.016,752.63
2016-12-02,0.013,770.94
2016-12-03,0.034,764.24
2016-12-04,0.009,766.39
2016-12-05,0.02,754.34
2016-12-06,0.002,758.21
2016-12-09,0.0,770.48
2016-12-10,0.0,774.0
2016-12-12,0.012,778.47
2016-12-13,0.005,778.74
2016-12-15,0.001,775.21
2016-12-16,0.001,782.05
2016-12-17,0.012,787.17
2016-12-18,0.002,789.01
2016-12-19,0.008,789.79
2016-12-20,0.003,799.1
2016-12-21,0.002,829.21
2016-12-22,0.0,860.15
2016-12-24,0.001,891.07
2016-12-25,0.0,891.07
2016-12-26,0.0,898.38
2016-12-27,0.016,925.78
2016-12-28,0.012,972.17
2016-12-29,0.004,971.08
2016-12-30,0.001,959.04
2016-12-31,0.001,963.38
2017-01-01,0.008,995.44
2017-01-02,0.146,1017.05
2017-01-03,0.009,1033.3
2017-01-04,0.012,1135.41
2017-01-05,0.03,989.35
2017-01-06,0.021,886.16
2017-01-07,0.001,888.87
2017-01-08,0.0,900.86
2017-01-09,0.0,899.78
2017-01-10,0.001,904.37
2017-01-11,0.006,785.43
2017-01-12,0.001,810.11
2017-01-13,0.003,824.83
2017-01-14,0.001,819.63
2017-01-15,0.0,821.17
2017-01-16,0.001,827.34
2017-01-17,0.004,899.66
2017-01-18,0.023,872.03
2017-01-19,0.003,895.21
2017-01-20,0.002,892.91
2017-01-21,0.001,919.84
2017-01-22,0.001,918.84
2017-01-23,0.005,921.46
2017-01-24,0.001,893.75
2017-01-25,0.005,894.41
2017-01-26,0.012,915.56
2017-01-27,0.003,918.01
2017-01-28,0.001,918.51
2017-01-29,0.003,914.55
2017-01-30,0.005,920.73
2017-01-31,0.005,965.49
2017-02-01,0.002,982.43
2017-02-02,0.003,1003.97
2017-02-03,0.001,1013.02
2017-02-04,0.002,1031.85
2017-03-19,0.0,1022.6
2017-03-20,0.017,1047.51
2017-03-21,0.003,1121.29
2017-03-22,0.001,1044.72
2017-03-23,0.005,1035.03
2017-03-24,0.002,939.7
2017-03-25,0.001,966.3
2017-03-26,0.001,969.44
2017-03-27,0.001,1045.14
2017-03-28,0.001,1044.42
2017-03-29,0.002,1041.9
2017-03-30,0.001,1037.91
2017-03-31,0.002,1079.11
2017-04-01,0.027,1086.12
2017-04-02,0.011,1097.4
2017-04-03,0.002,1147.56
2017-04-04,0.005,1141.77
2017-04-05,0.034,1129.87
2017-04-06,0.027,1188.7
2017-04-07,0.004,1190.49
2017-04-08,0.0,1180.78
2017-04-09,0.012,1204.34
2017-04-10,0.016,1206.71
2017-04-11,0.003,1220.74
2017-04-12,0.048,1212.53
2017-04-13,0.01,1176.2
2017-04-14,0.002,1177.33
2017-04-15,0.009,1176.99
2017-04-16,0.003,1176.8
2017-04-17,0.003,1194.01
