created_at,trend,adjusted_close
2016-11-03,0.0,8.84
2016-11-12,0.002,9.58
2016-11-15,0.002,9.5
2016-11-19,0.0,8.48
2016-11-22,0.0,8.67
2016-11-24,0.002,9.04
2016-11-25,0.0,9.01
2016-11-28,0.009,9.0
2016-11-29,0.004,8.82
2016-11-30,0.006,8.96
2016-12-01,0.004,8.63
2016-12-02,0.0,8.57
2016-12-03,0.002,8.72
2016-12-04,0.004,8.66
2016-12-05,0.004,8.55
2016-12-06,0.086,8.6
2016-12-09,0.002,8.68
2016-12-13,0.007,9.24
2016-12-14,0.0,9.25
2016-12-16,0.013,9.75
2016-12-17,0.011,9.52
2016-12-18,0.004,9.84
2016-12-20,0.002,10.17
2016-12-21,0.004,9.84
2016-12-22,0.034,9.7
2016-12-23,0.0,9.31
2016-12-24,0.0,9.68
2016-12-25,0.002,9.85
2016-12-26,0.0,9.71
2016-12-27,0.0,9.53
2016-12-28,0.011,9.86
2016-12-29,0.002,10.56
2016-12-30,0.0,10.92
2016-12-31,0.007,11.13
2017-01-01,0.002,11.06
2017-01-02,0.002,11.62
2017-01-05,0.002,13.63
2017-01-06,0.004,11.21
2017-01-08,0.0,12.31
2017-01-09,0.004,12.12
2017-01-11,0.002,11.14
2017-01-12,0.0,12.17
2017-01-14,0.002,12.25
2017-01-16,0.004,12.8
2017-01-17,0.002,14.04
2017-01-21,0.0,14.79
2017-01-22,0.004,14.98
2017-01-24,0.006,14.03
2017-01-25,0.006,14.26
2017-01-26,0.011,14.75
2017-01-28,0.0,15.09
2017-01-29,0.0,15.27
2017-01-30,0.002,15.79
2017-01-31,0.0,15.94
2017-02-01,0.002,15.69
2017-02-02,0.002,16.01
2017-02-03,0.004,16.9
2017-02-04,0.0,16.88
2017-03-19,0.002,108.59
2017-03-20,0.0,101.87
2017-03-22,0.0,103.45
2017-03-23,0.493,102.43
2017-03-24,0.006,101.94
2017-03-26,0.007,94.13
2017-03-27,0.002,84.99
2017-03-28,0.007,87.66
2017-03-29,0.006,84.76
2017-03-30,0.002,78.45
2017-03-31,0.011,72.4
2017-04-01,0.0,67.42
2017-04-02,0.002,56.0
2017-04-03,0.0,62.45
2017-04-04,0.002,68.64
2017-04-05,0.006,74.04
2017-04-06,0.006,66.06
2017-04-07,0.006,66.14
2017-04-08,0.002,67.24
2017-04-09,0.007,65.04
2017-04-10,0.017,61.39
2017-04-11,0.013,60.87
2017-04-12,0.002,67.4
2017-04-13,0.002,72.81
2017-04-14,0.002,71.8
2017-04-15,0.011,74.71
2017-04-16,0.004,75.19
2017-04-17,0.004,75.44
2017-04-18,0.0,72.47
2017-04-19,0.006,72.34
2017-04-20,0.022,71.04
2017-04-21,0.007,70.84
2017-04-22,0.004,70.96
2017-04-23,0.004,70.24
2017-04-24,0.004,71.63
2017-04-25,0.0,71.2
2017-04-26,0.006,71.31
2017-04-27,0.0,77.71
2017-04-28,0.0,78.55
2017-04-29,0.006,93.07
2017-04-30,0.0,89.36
2017-05-01,0.004,84.77
2017-05-02,0.002,83.73
2017-05-03,0.009,85.59
2017-05-04,0.009,86.45
2017-05-05,0.004,92.55
2017-05-06,0.004,94.38
2017-05-07,0.0,100.93
2017-05-08,0.004,95.87
2017-05-09,0.006,86.73
2017-05-10,0.0,87.65
2017-05-11,0.013,88.63
2017-05-12,0.0,85.23
2017-05-13,0.002,86.99
2017-05-14,0.004,87.28
2017-05-15,0.004,88.75
2017-05-16,0.007,83.32
2017-05-18,0.006,87.19
2017-05-19,0.006,96.14
2017-05-20,0.002,97.39
2017-05-21,0.0,99.85
2017-05-22,0.004,119.34
2017-05-23,0.004,131.8
2017-05-24,0.049,142.5
2017-05-25,0.043,115.71
2017-05-26,0.009,108.95
2017-05-27,0.002,96.58
2017-05-28,0.004,104.97
2017-05-29,0.002,114.1
2017-05-30,0.002,119.19
2017-05-31,0.0,132.69
2017-06-01,0.002,133.53
2017-06-02,0.002,142.91
2017-06-05,0.007,143.89
2017-06-06,0.002,140.87
2017-06-07,0.006,138.41
2017-06-08,0.004,141.22
2017-06-09,0.006,144.86
2017-06-12,0.002,167.8
2017-06-13,0.007,180.21
2017-06-14,0.002,163.26
2017-06-15,0.006,161.08
2017-06-16,0.0,162.18
2017-06-17,0.002,175.27
2017-06-18,0.0,187.06
2017-06-19,0.006,194.5
2017-06-20,0.004,188.17
2017-06-21,0.073,178.96
2017-06-22,0.013,180.85
2017-06-23,0.0,184.69
2017-06-25,0.0,169.59
2017-06-26,0.004,160.72
2017-06-28,0.002,179.62
2017-06-30,0.009,173.7
2017-07-01,0.004,162.01
2017-07-02,0.002,169.78
2017-07-03,0.011,178.55
2017-07-04,0.006,181.4
2017-07-05,0.002,204.92
2017-07-06,0.004,207.71
2017-07-07,0.006,190.59
2017-07-09,0.0,195.49
