created_at,trend,adjusted_close
2016-11-28,0.0,0.0
2017-01-08,0.0,0.0
2017-01-13,0.0,0.0
2017-01-20,0.0,0.0
2017-01-21,0.0,0.0
2017-01-23,0.0,0.0
2017-01-24,0.053,0.0
2017-01-25,0.039,0.0
2017-01-26,0.026,0.0
2017-01-28,0.0,0.0
2017-01-29,0.066,0.0
2017-01-30,0.053,0.0
2017-01-31,0.224,0.0
2017-02-01,0.039,0.0
2017-02-02,0.013,0.0
2017-02-03,0.026,0.0
2017-02-04,0.039,0.0
2017-03-20,0.0,0.0
2017-03-23,0.0,0.0
2017-03-24,0.013,0.0
2017-03-28,0.013,0.0
2017-03-29,0.0,0.0
2017-03-30,0.013,0.0
2017-03-31,0.039,0.0
2017-04-01,0.0,0.0
2017-04-02,0.013,0.0
2017-04-03,0.0,0.0
2017-04-04,0.013,0.0
2017-04-05,0.0,0.0
2017-04-07,0.0,0.0
2017-04-10,0.0,0.0
2017-04-11,0.013,0.0
2017-04-14,0.0,0.0
2017-04-16,0.0,0.0
2017-04-17,0.013,0.0
2017-04-19,0.0,0.0
2017-04-22,0.0,0.0
2017-04-24,0.0,0.0
2017-04-25,0.039,0.0
2017-04-26,0.013,0.0
2017-04-28,0.0,0.0
2017-04-29,0.013,0.0
2017-05-02,0.066,0.0
2017-05-05,0.013,0.0
2017-05-11,0.0,0.0
2017-05-12,0.013,0.0
2017-05-14,0.0,0.0
2017-05-15,0.013,0.0
2017-05-17,0.013,0.0
2017-05-19,0.013,0.0
2017-05-28,0.0,0.0
2017-05-31,0.0,0.0
2017-06-02,0.0,0.0
2017-06-09,0.0,0.0
2017-06-13,0.0,0.0
2017-06-21,0.013,0.0
2017-06-22,0.0,0.0
2017-06-24,0.0,0.0
2017-06-26,0.066,0.0
2017-06-29,0.0,0.85
2017-06-30,0.0,0.912
2017-07-01,0.0,1.05
2017-07-02,0.263,3.0
2017-07-03,0.118,4.2
2017-07-04,0.0,3.24
2017-07-08,0.039,2.37
2017-07-09,0.026,2.22
2017-07-10,0.0,1.7
2017-07-11,0.013,1.53
2017-07-12,0.026,1.96
2017-07-14,0.026,1.51
2017-07-18,0.0,1.67
2017-07-22,0.0,2.03
2017-07-23,0.0,1.91
2017-07-24,0.013,1.9
2017-07-26,0.013,1.66
2017-07-28,0.0,1.8
2017-07-31,0.0,1.72
2017-08-08,0.0,1.86
2017-08-11,0.0,1.76
2017-08-13,0.0,1.59
2017-08-15,0.0,1.62
2017-08-16,0.0,1.59
2017-08-17,0.0,1.52
2017-08-18,0.0,1.4
2017-08-19,0.0,1.39
2017-08-22,0.0,1.27
2017-08-26,0.0,1.36
2017-08-27,0.013,1.34
2017-08-28,0.0,1.33
2017-08-31,0.0,1.34
2017-09-04,0.013,0.9142
2017-09-05,0.026,0.923
2017-09-06,0.0,0.9106
2017-09-08,0.026,0.8421
2017-09-09,0.0,0.8174
2017-09-14,0.0,0.5806
2017-09-17,0.013,0.6233
2017-09-27,0.026,0.6314
2017-09-29,0.0,0.7146
2017-10-04,0.0,0.6008
2017-10-05,0.013,0.6054
2017-10-06,0.0,0.6005
2017-10-07,0.0,0.5895
2017-10-09,0.0,0.558
2017-10-14,0.0,0.5836
2017-10-15,0.118,0.5738
2017-10-23,0.026,0.4924
2017-10-25,0.0,0.5041
2017-10-29,0.013,0.6668
2017-11-01,0.013,1.05
2017-11-05,0.0,1.09
2017-11-06,0.079,0.9124
2017-11-08,0.0,1.12
2017-11-18,0.0,1.92
2017-11-19,0.132,1.88
2017-11-20,0.079,1.99
2017-11-21,0.053,1.91
2017-11-23,0.013,1.88
2017-11-24,0.026,1.88
2017-11-25,0.039,2.05
2017-11-26,0.0,2.46
2017-11-27,0.276,2.86
2017-11-28,0.092,2.76
2017-11-29,0.066,2.71
2017-11-30,0.039,2.84
2017-12-01,0.013,3.22
2017-12-02,0.066,3.91
2017-12-03,0.079,3.58
2017-12-04,0.105,4.04
2017-12-05,0.184,4.19
2017-12-06,0.487,4.47
2017-12-07,0.447,3.89
2017-12-08,0.25,4.22
2017-12-09,0.145,3.98
2017-12-10,0.079,3.67
2017-12-11,0.618,4.39
2017-12-12,0.421,5.08
2017-12-13,0.974,7.28
2017-12-14,0.882,8.2
2017-12-15,0.855,7.93
2017-12-16,0.5,8.35
2017-12-17,0.224,7.97
2017-12-18,0.329,8.88
2017-12-19,0.579,11.49
2017-12-20,0.237,10.44
2017-12-21,0.25,10.64
2017-12-22,0.289,7.69
2017-12-23,0.25,8.26
2017-12-24,0.224,7.99
2017-12-25,0.789,8.15
2017-12-26,1.0,8.6
2017-12-27,0.5,8.72
2017-12-28,0.211,8.1
2017-12-29,0.171,8.12
2017-12-30,0.263,7.08
2017-12-31,0.5,7.69
2018-01-01,0.237,7.64
2018-01-02,0.382,8.3
2018-01-03,0.237,9.43
2018-01-04,0.395,9.47
