created_at,trend,adjusted_close
2017-04-01,0.006,50.6
2017-04-02,0.006,48.55
2017-04-03,0.003,44.13
2017-04-04,0.001,44.43
2017-04-05,0.002,44.9
2017-04-06,0.001,43.23
2017-04-07,0.0,42.31
2017-04-08,0.0,44.37
2017-04-09,0.0,43.72
2017-04-10,0.002,43.74
2017-04-11,0.003,43.74
2017-04-12,0.0,46.38
2017-04-13,0.0,49.97
2017-04-14,0.001,47.32
2017-04-15,0.001,48.89
2017-04-16,0.001,48.22
2017-04-17,0.001,47.94
2017-04-18,0.001,49.88
2017-04-19,0.001,47.88
2017-04-20,0.0,49.36
2017-04-21,0.088,48.27
2017-04-22,0.002,48.41
2017-04-23,0.002,48.75
2017-04-24,0.0,49.94
2017-04-25,0.0,50.09
2017-04-26,0.001,53.28
2017-04-27,0.0,63.14
2017-04-28,0.0,72.42
2017-04-29,0.012,69.83
2017-04-30,0.016,79.83
2017-05-01,0.005,77.53
2017-05-02,0.007,77.25
2017-05-03,0.003,80.37
2017-05-04,0.01,94.55
2017-05-05,0.016,90.79
2017-05-06,0.001,94.82
2017-05-07,0.001,90.46
2017-05-08,0.003,88.39
2017-05-09,0.005,86.27
2017-05-10,0.005,87.83
2017-05-11,0.01,88.2
2017-05-12,0.003,85.15
2017-05-13,0.001,87.96
2017-05-14,0.002,88.72
2017-05-15,0.002,90.32
2017-05-16,0.001,87.8
2017-05-17,0.0,86.98
2017-05-18,0.005,95.88
2017-05-19,0.0,124.38
2017-05-20,0.004,123.06
2017-05-21,0.003,148.0
2017-05-22,0.003,160.39
2017-05-23,0.067,169.5
2017-05-24,0.001,193.03
2017-05-25,1.0,177.33
2017-05-26,0.093,162.83
2017-05-27,0.006,156.63
2017-05-28,0.009,172.86
2017-05-29,0.007,194.17
2017-05-30,0.004,228.58
2017-05-31,0.032,228.64
2017-06-01,0.051,220.7
2017-06-02,0.017,222.04
2017-06-03,0.011,224.3
2017-06-04,0.007,244.96
2017-06-05,0.025,247.75
2017-06-06,0.012,264.26
2017-06-07,0.004,255.77
2017-06-08,0.001,259.41
2017-06-09,0.001,279.11
2017-06-10,0.002,335.95
2017-06-11,0.01,339.68
2017-06-12,0.01,394.66
2017-06-13,0.058,388.09
2017-06-14,0.013,343.84
2017-06-15,0.009,344.68
2017-06-16,0.013,353.61
2017-06-17,0.017,368.1
2017-06-18,0.018,351.53
2017-06-19,0.007,358.2
2017-06-20,0.022,350.53
2017-06-21,0.044,325.3
2017-06-22,0.128,320.97
2017-06-23,0.066,326.85
2017-06-24,0.025,304.54
2017-06-25,0.006,279.36
2017-06-26,0.021,253.68
2017-06-27,0.013,286.14
2017-06-28,0.072,315.86
2017-06-29,0.087,292.9
2017-06-30,0.046,280.68
2017-07-01,0.013,261.0
2017-07-02,0.004,283.99
2017-07-03,0.037,276.41
2017-07-04,0.025,269.05
2017-07-05,0.046,266.0
2017-07-06,0.024,265.88
2017-07-07,0.01,240.94
2017-07-08,0.231,245.67
2017-07-09,0.073,237.72
2017-07-10,0.068,205.76
2017-07-11,0.033,190.55
2017-07-12,0.013,224.15
2017-07-13,0.02,205.41
