created_at,trend,adjusted_close
2017-04-01,0.0,7.48
2017-04-02,0.0,8.22
2017-04-03,0.0,8.57
2017-04-04,0.0,8.97
2017-04-05,0.0,12.39
2017-04-06,0.0,10.7
2017-04-07,0.0,9.89
2017-04-08,0.0,10.66
2017-04-09,0.0,9.21
2017-04-10,0.0,9.8
2017-04-11,0.002,9.66
2017-04-12,0.002,11.6
2017-04-13,0.002,11.06
2017-04-14,0.002,11.67
2017-04-15,0.002,11.67
2017-04-16,0.002,11.73
2017-04-17,0.0,11.26
2017-04-18,0.0,11.06
2017-04-19,0.0,10.29
2017-04-20,0.0,10.97
2017-04-21,0.0,12.0
2017-04-22,0.0,14.05
2017-04-23,0.0,15.15
2017-04-24,0.0,14.87
2017-04-25,0.0,15.06
2017-04-26,0.0,14.89
2017-04-27,0.0,14.66
2017-04-28,0.0,14.25
2017-04-29,0.0,15.75
2017-04-30,0.0,15.63
2017-05-01,0.0,15.74
2017-05-02,0.0,15.57
2017-05-03,0.0,20.53
2017-05-04,0.205,22.95
2017-05-05,0.028,25.2
2017-05-06,0.0,27.46
2017-05-07,0.002,29.5
2017-05-08,0.002,28.1
2017-05-09,0.004,31.77
2017-05-10,0.0,31.28
2017-05-11,0.008,29.88
2017-05-12,0.002,26.76
2017-05-13,0.004,28.14
2017-05-14,0.0,28.07
2017-05-15,0.0,24.5
2017-05-16,0.0,22.83
2017-05-17,0.0,25.06
2017-05-18,0.0,27.88
2017-05-19,0.0,27.27
2017-05-20,0.0,27.42
2017-05-21,0.0,26.02
2017-05-22,0.0,24.79
2017-05-23,0.0,31.36
2017-05-24,0.0,34.8
2017-05-25,0.108,28.32
2017-05-26,0.108,24.45
2017-05-27,0.108,22.83
2017-05-28,0.0,23.89
2017-05-29,0.002,25.33
2017-05-30,0.002,23.89
2017-05-31,0.004,25.91
2017-06-01,0.004,27.55
2017-06-02,0.006,28.27
2017-06-03,0.006,27.27
2017-06-04,0.006,27.89
2017-06-05,0.004,30.78
2017-06-06,0.002,30.07
2017-06-07,0.002,28.47
2017-06-08,0.002,29.9
2017-06-09,0.002,29.54
2017-06-10,0.002,30.06
2017-06-11,0.002,33.63
2017-06-12,0.002,28.98
2017-06-13,0.002,30.38
2017-06-14,0.002,29.19
2017-06-15,0.002,29.29
2017-06-16,0.0,34.12
2017-06-17,0.0,45.8
2017-06-18,0.0,43.8
