created_at,trend,adjusted_close
2016-11-21,0.0,0.0
2016-12-04,0.0,0.0
2016-12-05,0.0,0.0
2016-12-06,0.0,0.0
2016-12-13,0.0,0.0
2016-12-19,0.0,0.0
2016-12-20,0.0,0.0
2016-12-22,0.0,0.0
2016-12-27,0.0,0.0
2017-01-09,0.0,0.0
2017-01-11,0.0,0.0
2017-01-16,0.0,0.0
2017-01-24,0.002,0.0
2017-01-25,0.0,0.0
2017-03-30,0.0,0.0
2017-04-15,0.0,0.0
2017-04-16,0.0,0.0
2017-04-19,0.0,0.0
2017-04-25,0.0,0.0
2017-04-28,0.0,0.0
2017-05-03,0.0,0.0
2017-05-05,0.0,0.0
2017-05-11,0.0,0.0
2017-05-12,0.002,0.0
2017-05-15,0.001,0.0
2017-05-19,0.0,0.0
2017-05-22,0.0,0.0
2017-05-23,0.0,0.0
2017-05-25,0.0,0.0
2017-05-29,0.0,0.0
2017-05-30,0.0,0.0
2017-06-03,0.002,0.0
2017-06-04,0.007,0.0
2017-06-16,0.0,0.0
2017-06-25,0.0,0.0
2017-06-29,0.0,0.0
2017-07-04,0.0,0.0
2017-07-12,0.0,0.0
2017-07-26,0.0,0.0
2017-07-30,0.0,0.0
2017-08-01,0.0,0.0
2017-08-04,0.046,0.0
2017-08-05,0.017,0.0
2017-08-06,0.025,0.0
2017-08-07,0.003,0.0
2017-08-08,0.0,0.0
2017-08-14,0.0,0.0
2017-08-17,0.0,0.0
2017-08-18,0.0,0.0
2017-08-30,0.0,0.0
2017-09-06,0.0,0.0
2017-09-09,0.0,0.0
2017-09-14,0.0,0.0
2017-09-16,0.0,0.0
2017-10-01,0.0,0.0
2017-10-10,0.0,0.00255
2017-10-11,0.0,0.0025
2017-11-01,0.0,0.00222
2017-11-02,0.0,0.00212
2017-11-03,0.0,0.00217
2017-11-06,0.0,0.00183
2017-11-20,0.001,0.00215
2017-11-21,0.0,0.00212
2017-11-22,0.0,0.00253
2017-11-23,0.002,0.00233
2017-11-25,0.0,0.002
2017-11-26,0.0,0.00208
2017-11-28,0.0,0.00226
2017-11-29,0.0,0.00215
2017-12-01,0.0,0.00206
2017-12-04,0.001,0.00212
2017-12-05,0.0,0.00204
2017-12-06,0.0,0.00386
2017-12-07,0.007,0.00364
2017-12-08,0.0,0.00404
2017-12-09,0.0,0.00439
2017-12-10,0.004,0.00414
2017-12-11,0.0,0.00496
2017-12-12,0.001,0.00767
2017-12-13,0.008,0.01472
2017-12-14,0.019,0.01754
2017-12-15,0.011,0.0185
2017-12-16,0.035,0.03586
2017-12-17,0.066,0.03417
2017-12-18,0.027,0.04556
2017-12-19,0.039,0.04226
2017-12-20,0.023,0.04689
2017-12-21,0.072,0.04829
2017-12-22,0.037,0.03653
2017-12-23,0.118,0.04813
2017-12-24,0.077,0.03812
2017-12-25,0.044,0.03342
2017-12-26,0.162,0.03763
2017-12-27,0.108,0.03649
2017-12-28,0.037,0.03984
2017-12-29,0.081,0.03543
2017-12-30,0.036,0.03751
2017-12-31,0.022,0.04862
2018-01-01,0.059,0.0579
2018-01-02,0.148,0.09997
2018-01-03,0.168,0.1294
2018-01-04,0.501,0.2537
2018-01-05,1.0,0.2985
2018-01-06,0.658,0.194
2018-01-07,0.246,0.2182
2018-01-08,0.21,0.1509
2018-01-09,0.211,0.1254
2018-01-10,0.229,0.1328
2018-01-11,0.119,0.1108
2018-01-12,0.036,0.1086
2018-01-13,0.037,0.1041
2018-01-14,0.187,0.08614
2018-01-15,0.575,0.07826
2018-01-16,0.169,0.05808
2018-01-17,0.178,0.0854
2018-01-18,0.337,0.086
2018-01-19,0.04,0.0809
2018-01-20,0.202,0.08601
2018-01-21,0.034,0.0719
2018-01-22,0.042,0.07199
2018-01-23,0.15,0.06861
2018-01-24,0.083,0.07221
2018-01-25,0.027,0.06896
2018-01-26,0.017,0.06635
2018-01-27,0.018,0.06983
2018-01-28,0.025,0.06665
2018-01-29,0.032,0.06513
