created_at,trend,adjusted_close
2016-11-24,0.0,0.0
2016-12-26,0.0,0.0
2017-01-04,0.0,0.0
2017-04-10,0.0,0.0
2017-05-09,0.0,0.0
2017-05-12,0.0,0.0
2017-05-16,0.0,0.0
2017-05-23,0.001,0.0
2017-05-25,0.003,0.0
2017-06-04,0.0,0.2139
2017-07-07,0.0,0.1561
2017-07-08,0.001,0.1578
2017-08-07,0.001,0.2802
2017-08-17,0.0,0.2452
2017-09-05,0.0,0.2838
2017-09-28,0.004,0.2366
2017-09-30,0.0,0.2349
2017-10-05,0.001,0.2099
2017-10-22,0.0,0.2105
2017-10-28,0.0,0.1962
2017-11-07,0.0,0.1789
2017-11-09,0.0,0.2253
2017-11-19,0.0,0.2036
2017-11-20,0.005,0.2142
2017-11-21,0.0,0.2027
2017-11-23,0.004,0.2011
2017-11-24,0.0,0.2078
2017-11-25,0.001,0.2201
2017-11-26,0.001,0.2143
2017-11-28,0.004,0.2454
2017-11-30,0.001,0.2198
2017-12-01,0.013,0.2383
2017-12-03,0.001,0.2704
2017-12-04,0.004,0.2848
2017-12-05,0.004,0.299
2017-12-06,0.0,0.3148
2017-12-07,0.006,0.2836
2017-12-08,0.065,0.6417
2017-12-09,0.052,0.4387
2017-12-10,0.008,0.3812
2017-12-11,0.009,0.4886
2017-12-12,0.006,0.5042
2017-12-13,0.017,0.5087
2017-12-14,0.012,0.5963
2017-12-15,0.01,0.5895
2017-12-16,0.013,0.6455
2017-12-17,0.01,0.6754
2017-12-18,0.006,0.8293
2017-12-19,0.012,0.8913
2017-12-20,0.006,0.888
2017-12-21,0.005,0.9762
2017-12-22,0.016,0.7989
2017-12-23,0.008,0.8652
2017-12-24,0.012,1.0
2017-12-25,0.001,0.984
2017-12-26,0.006,0.9675
2017-12-27,0.005,0.9296
2017-12-28,0.004,0.8857
2017-12-29,0.008,1.03
2017-12-30,0.01,0.8819
2017-12-31,0.022,1.03
2018-01-01,0.018,1.01
2018-01-02,0.01,1.13
2018-01-03,0.222,1.75
2018-01-04,0.014,1.61
2018-01-05,0.014,1.56
2018-01-06,0.014,1.63
2018-01-07,0.003,1.8
2018-01-08,0.008,1.57
2018-01-09,0.004,1.44
2018-01-10,0.008,1.37
2018-01-11,0.004,1.25
2018-01-12,0.003,1.39
2018-01-13,0.003,1.44
2018-01-14,0.004,1.3
2018-01-15,0.003,1.34
2018-01-16,0.019,0.9426
2018-01-17,0.006,0.9397
2018-01-18,0.009,1.02
2018-01-19,0.019,1.07
2018-01-20,0.0,1.17
2018-01-21,0.005,1.04
2018-01-22,0.009,0.9799
2018-01-23,0.001,0.9421
2018-01-24,0.008,0.9582
2018-01-25,0.009,0.9352
2018-01-26,1.0,0.8585
2018-01-27,0.457,1.03
2018-01-28,0.099,0.9995
2018-01-29,0.01,0.9275
