created_at,trend,adjusted_close
2016-11-28,0.0,0.0
2016-12-06,0.0,0.0
2016-12-18,0.001,0.0
2016-12-26,0.0,0.0
2017-01-17,0.0,0.002251
2017-01-24,0.0,0.002212
2017-01-25,0.0,0.002178
2017-01-29,0.0,0.0022
2017-02-02,0.001,0.002215
2017-02-04,0.0,0.002292
2017-03-25,0.0,0.002
2017-03-28,0.0,0.002095
2017-03-29,0.0,0.001917
2017-03-31,0.004,0.002282
2017-04-01,0.001,0.00285
2017-04-13,0.0,0.003132
2017-04-21,0.0,0.003453
2017-04-24,0.001,0.004
2017-04-25,0.0,0.00377
2017-04-26,0.0,0.004026
2017-04-27,0.0,0.004033
2017-05-02,0.0,0.005054
2017-05-11,0.0,0.03681
2017-05-12,0.005,0.04099
2017-05-13,0.015,0.03736
2017-05-14,0.002,0.03835
2017-05-16,0.003,0.05
2017-05-17,0.002,0.04898
2017-05-21,0.0,0.06
2017-06-08,0.0,0.05017
2017-06-13,0.001,0.04106
2017-06-25,0.0,0.03182
2017-06-26,0.0,0.02899
2017-06-30,0.0,0.02637
2017-07-01,0.002,0.02394
2017-07-09,0.003,0.01923
2017-07-11,0.0,0.01432
2017-07-12,0.0,0.01784
2017-07-13,0.0,0.01714
2017-07-17,0.001,0.0186
2017-07-21,0.001,0.01898
2017-07-24,0.0,0.02274
2017-07-25,0.0,0.01861
2017-07-26,0.0,0.01891
2017-07-27,0.0,0.01848
2017-08-01,0.0,0.01799
2017-08-02,0.012,0.0184
2017-08-03,0.003,0.01889
2017-08-06,0.0,0.02283
2017-08-07,0.0,0.0223
2017-08-14,0.0,0.01776
2017-08-16,0.0,0.01774
2017-08-19,0.001,0.01649
2017-08-21,0.003,0.01955
2017-08-26,0.001,0.02125
2017-09-06,0.0,0.02038
2017-09-07,0.0,0.02029
2017-09-14,0.0,0.01131
2017-09-16,0.0,0.01188
2017-10-04,0.0,0.01181
2017-10-08,0.0,0.01862
2017-10-09,0.0,0.01764
2017-10-17,0.0,0.0461
2017-10-18,0.0,0.03515
2017-10-19,0.0,0.03114
2017-10-21,0.001,0.0365
2017-11-06,0.001,0.02867
2017-11-10,0.001,0.03282
2017-11-14,0.001,0.0359
2017-11-18,0.003,0.03637
2017-11-19,0.0,0.0365
2017-11-20,0.007,0.03862
2017-11-21,0.006,0.03787
2017-11-23,0.004,0.04037
2017-11-24,0.001,0.04043
2017-11-25,0.016,0.04328
2017-11-26,0.006,0.0486
2017-11-27,0.007,0.0605
2017-11-28,0.015,0.07989
2017-11-29,0.023,0.06607
2017-11-30,0.003,0.07262
2017-12-01,0.038,0.08748
2017-12-02,0.009,0.09321
2017-12-03,0.014,0.08946
2017-12-04,0.012,0.09701
2017-12-05,0.006,0.1225
2017-12-06,0.052,0.1398
2017-12-07,0.039,0.126
2017-12-08,0.031,0.1335
2017-12-09,0.006,0.1319
2017-12-10,0.013,0.114
2017-12-11,0.018,0.1404
2017-12-12,0.023,0.147
2017-12-13,0.02,0.1449
2017-12-14,0.033,0.1858
2017-12-15,0.042,0.195
2017-12-16,0.058,0.2298
2017-12-17,0.072,0.263
2017-12-18,0.062,0.2736
2017-12-19,0.122,0.2565
2017-12-20,0.034,0.2494
2017-12-21,0.06,0.247
2017-12-22,0.037,0.204
2017-12-23,0.041,0.2222
2017-12-24,0.03,0.2116
2017-12-25,0.076,0.222
2017-12-26,0.05,0.2221
2017-12-27,0.058,0.227
2017-12-28,0.041,0.2174
2017-12-29,0.117,0.317
2017-12-30,0.476,0.309
2017-12-31,0.127,0.354
2018-01-01,0.789,0.484
2018-01-02,0.632,0.556
2018-01-03,1.0,0.8848
2018-01-04,0.537,0.695
2018-01-05,0.508,0.64
2018-01-06,0.411,0.6871
2018-01-07,0.205,0.705
2018-01-08,0.386,0.614
2018-01-09,0.441,0.5614
2018-01-10,0.487,0.559
2018-01-11,0.56,0.5567
2018-01-12,0.788,0.672
2018-01-13,0.146,0.658
2018-01-14,0.264,0.6196
2018-01-15,0.301,0.5979
2018-01-16,0.327,0.4301
2018-01-17,0.251,0.471
2018-01-18,0.128,0.492
2018-01-19,0.383,0.5
2018-01-20,0.733,0.526
2018-01-21,0.17,0.4513
2018-01-22,0.235,0.478
2018-01-23,0.401,0.4838
2018-01-24,0.646,0.5687
2018-01-25,0.581,0.608
2018-01-26,0.33,0.6271
2018-01-27,0.16,0.6185
2018-01-28,0.203,0.624
2018-01-29,0.199,0.5735
