created_at,trend,adjusted_close
2017-04-01,0.0,21.05
2017-04-02,0.0,20.11
2017-04-03,0.0,20.0
2017-04-04,0.0,20.47
2017-04-05,0.0,19.75
2017-04-06,0.0,19.47
2017-04-07,0.0,19.82
2017-04-08,0.0,20.81
2017-04-09,0.0,20.71
2017-04-10,0.0,22.34
2017-04-11,0.0,21.91
2017-04-12,0.014,21.83
2017-04-13,0.0,21.52
2017-04-14,0.014,21.07
2017-04-15,0.014,20.64
2017-04-16,0.014,20.15
2017-04-17,0.0,20.53
2017-04-18,0.324,20.98
2017-04-19,0.014,20.25
2017-04-20,0.014,20.2
2017-04-21,0.014,20.04
2017-04-22,0.014,20.03
2017-04-23,0.014,20.04
2017-04-24,0.014,19.58
2017-04-25,0.0,19.59
2017-04-26,0.0,19.5
2017-04-27,0.0,21.42
2017-04-28,0.0,22.55
2017-04-29,0.0,23.22
2017-04-30,0.0,23.7
2017-05-01,0.0,22.48
2017-05-02,0.0,23.23
2017-05-03,0.0,25.44
2017-05-04,0.0,25.98
2017-05-05,0.0,27.36
2017-05-06,0.0,27.74
2017-05-07,0.0,31.72
2017-05-08,0.0,29.59
2017-05-09,0.0,28.06
2017-05-10,0.0,30.43
2017-05-11,0.0,29.77
2017-05-12,0.01,28.85
2017-05-13,0.0,28.49
2017-05-14,0.01,28.44
2017-05-15,0.0,27.67
2017-05-16,0.0,26.78
2017-05-17,0.0,27.32
2017-05-18,0.029,30.79
2017-05-19,0.029,32.0
2017-05-20,0.029,34.8
2017-05-21,0.005,34.39
2017-05-22,0.0,36.13
2017-05-23,0.01,55.41
2017-05-24,0.01,45.03
2017-05-25,0.39,40.04
2017-05-26,0.39,38.48
2017-05-27,0.39,31.73
2017-05-28,0.39,36.04
2017-05-29,0.005,41.08
2017-05-30,0.0,39.34
2017-05-31,0.005,41.61
2017-06-01,0.0,43.99
2017-06-02,0.0,43.8
2017-06-03,0.0,42.48
2017-06-04,0.0,42.77
2017-06-05,0.005,48.45
2017-06-06,0.005,54.58
2017-06-07,0.005,53.01
2017-06-08,0.005,56.11
2017-06-09,0.005,55.52
2017-06-10,0.005,51.11
2017-06-11,0.005,57.72
2017-06-12,0.005,49.9
2017-06-13,0.0,51.74
2017-06-14,0.0,45.34
2017-06-15,0.014,46.26
2017-06-16,0.014,47.41
2017-06-17,0.014,52.51
2017-06-18,0.014,49.71
2017-06-19,0.01,50.45
2017-06-20,0.01,51.04
2017-06-21,0.01,48.5
2017-06-22,0.01,49.93
2017-06-23,0.01,50.73
2017-06-24,0.005,46.95
2017-06-25,0.005,45.14
2017-06-26,0.019,43.34
2017-06-27,0.019,43.41
2017-06-28,0.014,47.1
2017-06-29,0.014,44.42
2017-06-30,0.029,43.23
2017-07-01,0.005,40.06
2017-07-02,0.0,42.2
2017-07-03,0.0,43.72
2017-07-04,0.0,45.19
2017-07-05,0.0,45.82
2017-07-06,0.0,49.94
2017-07-07,0.0,44.07
2017-07-08,0.0,45.9
2017-07-09,0.0,44.56
2017-07-10,0.0,40.04
2017-07-11,0.005,36.8
2017-07-12,0.005,40.23
2017-07-13,0.005,38.02
2017-07-14,0.0,35.43
2017-07-15,0.0,32.15
2017-07-16,0.014,29.36
2017-07-17,0.014,34.67
2017-07-18,0.01,36.32
2017-07-19,0.019,34.94
2017-07-20,0.033,40.96
2017-07-21,0.033,40.3
2017-07-22,0.033,44.86
2017-07-23,0.033,42.63
2017-07-24,0.0,46.06
2017-07-25,0.024,40.66
2017-07-26,0.048,45.77
2017-07-27,0.052,45.14
2017-07-28,0.01,43.67
2017-07-29,0.014,43.97
2017-07-30,0.014,39.92
2017-07-31,0.0,39.68
2017-08-01,0.019,44.13
2017-08-02,0.005,43.84
2017-08-03,0.029,43.24
2017-08-04,0.014,45.12
2017-08-05,0.014,48.6
2017-08-06,0.014,47.92
2017-08-07,0.0,50.16
2017-08-08,0.0,51.96
2017-08-09,0.033,51.08
2017-08-10,0.005,49.39
2017-08-11,0.014,50.54
2017-08-12,0.014,49.5
2017-08-13,0.014,47.69
2017-08-14,0.019,49.91
2017-08-15,0.024,48.7
2017-08-16,0.062,48.63
2017-08-17,0.019,47.26
2017-08-18,0.019,46.6
2017-08-19,0.019,55.52
2017-08-20,0.019,54.95
2017-08-21,0.019,77.74
2017-08-22,0.0,90.77
2017-08-23,0.01,90.42
2017-08-24,0.038,86.16
2017-08-25,0.005,108.01
2017-08-26,0.01,137.65
2017-08-27,0.0,130.74
2017-08-28,0.0,144.99
2017-08-29,0.0,133.21
2017-08-30,0.019,133.7
2017-08-31,0.033,141.02
2017-09-01,0.014,142.84
2017-09-02,0.0,123.15
2017-09-03,0.005,126.18
2017-09-04,0.019,105.29
2017-09-05,0.0,118.9
2017-09-06,0.0,122.74
2017-09-07,0.0,122.18
2017-09-08,0.0,117.33
2017-09-09,0.024,116.1
2017-09-10,0.014,112.58
2017-09-11,0.0,112.18
2017-09-12,0.0,111.86
2017-09-13,0.043,110.21
2017-09-14,0.057,86.2
2017-09-15,0.01,100.01
2017-09-16,0.067,96.4
2017-09-17,0.1,93.72
2017-09-18,0.024,101.74
2017-09-19,0.048,98.28
2017-09-20,0.01,95.6
2017-09-21,0.038,85.8
2017-09-22,0.038,87.81
2017-09-23,0.048,91.88
2017-09-24,0.067,89.53
2017-09-25,0.033,94.1
2017-09-26,0.11,93.62
2017-09-27,0.038,102.39
2017-09-28,0.0,98.03
2017-09-29,0.071,94.74
2017-09-30,0.01,96.27
2017-10-01,0.014,93.58
2017-10-02,0.019,91.39
2017-10-03,0.0,92.99
2017-10-04,0.005,90.24
2017-10-05,0.014,91.88
2017-10-06,0.014,91.05
2017-10-07,0.014,91.61
2017-10-08,0.014,90.35
2017-10-09,0.062,85.34
2017-10-10,0.01,86.46
2017-10-11,0.005,87.49
2017-10-12,0.019,86.91
2017-10-13,0.124,94.82
2017-10-14,0.124,99.99
2017-10-15,0.005,94.92
2017-10-16,0.014,95.81
2017-10-17,0.014,90.98
2017-10-18,0.014,89.22
2017-10-19,0.014,88.39
2017-10-20,0.0,90.35
2017-10-21,0.0,88.04
2017-10-22,0.024,86.51
2017-10-23,0.0,85.17
2017-10-24,0.005,88.03
2017-10-25,0.005,87.08
2017-10-26,0.005,88.37
2017-10-27,0.0,86.35
2017-10-28,0.0,85.73
2017-10-29,0.0,88.59
2017-10-30,0.024,88.62
2017-10-31,0.019,87.31
2017-11-01,0.01,85.41
2017-11-02,0.081,83.08
2017-11-03,0.0,87.44
2017-11-04,0.0,87.12
2017-11-05,0.0,86.19
2017-11-06,0.014,101.0
2017-11-07,0.014,98.45
2017-11-08,0.0,112.88
2017-11-09,0.0,119.84
2017-11-10,0.043,104.48
2017-11-11,0.043,118.84
2017-11-12,0.0,122.96
2017-11-13,0.019,121.85
2017-11-14,0.024,121.28
2017-11-15,0.067,120.67
2017-11-16,0.005,120.26
2017-11-17,0.005,126.18
2017-11-18,0.005,130.59
2017-11-19,0.024,129.73
2017-11-20,0.729,136.17
2017-11-21,0.49,141.84
2017-11-22,1.0,165.73
2017-11-23,0.419,157.78
2017-11-24,0.714,158.44
2017-11-25,0.395,167.76
2017-11-26,0.548,162.11
2017-11-27,0.924,172.29
2017-11-28,0.238,196.36
2017-11-29,0.605,167.71
2017-11-30,0.319,175.18
2017-12-01,0.319,187.81
