created_at,trend,adjusted_close
2017-11-19,0.0,0.05188
2017-11-20,0.007,0.05318
2017-11-21,0.002,0.05224
2017-11-22,0.003,0.05311
2017-11-23,0.006,0.05169
2017-11-24,0.016,0.0529
2017-11-25,0.01,0.05647
2017-11-26,0.002,0.0601
2017-11-27,0.002,0.06278
2017-11-28,0.0,0.06389
2017-11-29,0.002,0.06345
2017-11-30,0.006,0.06416
2017-12-02,0.001,0.07039
2017-12-03,0.007,0.07254
2017-12-04,0.011,0.07497
2017-12-05,0.006,0.07525
2017-12-06,0.133,0.08868
2017-12-07,0.03,0.1087
2017-12-08,0.012,0.1035
2017-12-09,0.216,0.09574
2017-12-10,0.226,0.09713
2017-12-11,0.134,0.1079
2017-12-12,0.207,0.1102
2017-12-13,0.152,0.105
2017-12-14,0.204,0.1062
2017-12-15,0.08,0.1136
2017-12-16,0.323,0.1248
2017-12-17,0.131,0.123
2017-12-18,0.239,0.1224
2017-12-19,0.283,0.113
2017-12-20,0.268,0.1062
2017-12-21,0.637,0.1008
2017-12-22,0.177,0.08814
2017-12-23,0.102,0.09286
2017-12-24,0.162,0.08895
2017-12-25,0.397,0.08923
2017-12-26,0.781,0.1016
2017-12-27,0.656,0.09944
2017-12-28,0.846,0.09287
2017-12-29,0.915,0.09283
2017-12-30,0.295,0.08083
2017-12-31,0.669,0.08934
2018-01-01,0.61,0.08672
2018-01-02,1.0,0.09516
2018-01-03,0.672,0.09776
2018-01-04,0.815,0.09791
2018-01-05,0.771,32.21
2018-01-06,0.33,32.1
2018-01-07,0.284,26.79
2018-01-08,0.286,26.06
2018-01-09,0.739,31.69
2018-01-10,0.512,31.18
2018-01-11,0.276,25.95
2018-01-12,0.798,25.45
2018-01-13,0.237,24.36
2018-01-14,0.322,22.05
2018-01-15,0.436,20.8
2018-01-16,0.375,14.06
2018-01-17,0.178,16.51
2018-01-18,0.311,17.21
2018-01-19,0.424,17.03
2018-01-20,0.722,19.58
2018-01-21,0.168,16.96
2018-01-22,0.284,14.45
2018-01-23,0.155,13.91
2018-01-24,0.308,15.26
2018-01-25,0.207,12.55
2018-01-26,0.496,17.33
2018-01-27,0.519,19.18
2018-01-28,0.321,19.77
2018-01-29,0.316,19.36
