created_at,trend,adjusted_close
2017-04-01,0.0,0.022
2017-04-02,0.0,0.0615
2017-04-03,0.0,0.03201
2017-04-04,0.0,0.03787
2017-04-05,0.0,0.03559
2017-04-06,0.0,0.0332
2017-04-07,0.0,0.03715
2017-04-08,0.0,0.03575
2017-04-09,0.0,0.03421
2017-04-10,0.008,0.03404
2017-04-11,0.0,0.03316
2017-04-12,0.0,0.03455
2017-04-13,0.0,0.03422
2017-04-14,0.0,0.03348
2017-04-15,0.008,0.03381
2017-04-16,0.008,0.03306
2017-04-17,0.0,0.03333
2017-04-18,0.0,0.03281
2017-04-19,0.0,0.03035
2017-04-20,0.0,0.02999
2017-04-21,0.031,0.03355
2017-04-22,0.031,0.0316
2017-04-23,0.031,0.03141
2017-04-24,0.008,0.03151
2017-04-25,0.008,0.03224
2017-04-26,0.008,0.03275
2017-04-27,0.008,0.03523
2017-04-28,0.0,0.045
2017-04-29,0.0,0.05383
2017-04-30,0.008,0.05218
2017-05-01,0.008,0.05383
2017-05-02,0.008,0.05382
2017-05-03,0.0,0.06108
2017-05-04,0.0,0.08
2017-05-05,0.0,0.09139
2017-05-06,0.0,0.1001
2017-05-07,0.0,0.1391
2017-05-08,0.0,0.1917
2017-05-09,0.023,0.1564
2017-05-10,0.023,0.187
2017-05-11,0.023,0.1837
2017-05-12,0.0,0.2069
2017-05-13,0.0,0.2102
2017-05-14,0.0,0.2171
2017-05-15,0.0,0.2631
2017-05-16,0.008,0.325
2017-05-17,0.0,0.375
2017-05-18,0.0,0.3575
2017-05-19,0.008,0.3224
2017-05-20,0.008,0.3449
2017-05-21,0.008,0.324
2017-05-22,0.008,0.2988
2017-05-23,0.0,0.3229
2017-05-24,0.0,0.29
2017-05-25,0.377,0.24
2017-05-26,0.0,0.276
2017-05-27,0.0,0.21
2017-05-28,0.015,0.2281
2017-05-29,0.0,0.2324
2017-05-30,0.0,0.2042
2017-05-31,0.008,0.2475
2017-06-01,0.015,0.3364
2017-06-02,0.015,0.2959
2017-06-03,0.015,0.2921
2017-06-04,0.015,0.2941
2017-06-05,0.015,0.2888
2017-06-06,0.023,0.284
2017-06-07,0.023,0.2762
2017-06-08,0.023,0.2869
2017-06-09,0.023,0.2814
2017-06-10,0.023,0.2598
2017-06-11,0.0,0.2701
2017-06-12,0.0,0.2467
2017-06-13,0.0,0.2626
2017-06-14,0.0,0.2623
2017-06-15,0.0,0.245
2017-06-16,0.0,0.2506
2017-06-17,0.0,0.2597
2017-06-18,0.0,0.2651
2017-06-19,0.0,0.281
2017-06-20,0.0,0.308
2017-06-21,0.0,0.2726
2017-06-22,0.0,0.2779
2017-06-23,0.0,0.2916
2017-06-24,0.0,0.2775
2017-06-25,0.0,0.2577
2017-06-26,0.0,0.2461
2017-06-27,0.0,0.2618
2017-06-28,0.0,0.2686
2017-06-29,0.0,0.2561
2017-06-30,0.0,0.2466
2017-07-01,0.0,0.2386
2017-07-02,0.0,0.2537
2017-07-03,0.0,0.2523
2017-07-04,0.0,0.2473
2017-07-05,0.015,0.252
2017-07-06,0.015,0.2506
2017-07-07,0.0,0.2303
2017-07-08,0.0,0.23
2017-07-09,0.008,0.2261
2017-07-10,0.077,0.1883
2017-07-11,0.015,0.1778
2017-07-12,0.015,0.1958
2017-07-13,0.0,0.1925
2017-07-14,0.0,0.1843
2017-07-15,0.0,0.172
2017-07-16,0.008,0.1461
2017-07-17,0.008,0.1723
2017-07-18,0.008,0.1788
2017-07-19,0.008,0.163
2017-07-20,0.0,0.1925
2017-07-21,0.0,0.1835
2017-07-22,0.046,0.1977
2017-07-23,0.0,0.1966
2017-07-24,0.0,0.1915
2017-07-25,0.0,0.1744
2017-07-26,0.0,0.1723
2017-07-27,0.0,0.1725
2017-07-28,0.0,0.1633
2017-07-29,0.0,0.169
2017-07-30,0.0,0.1633
2017-07-31,0.0,0.1648
2017-08-01,0.008,0.1776
2017-08-02,0.008,0.1709
2017-08-03,0.208,0.1748
2017-08-04,0.008,0.1744
2017-08-05,0.008,0.1848
2017-08-06,0.008,0.1802
2017-08-07,0.0,0.1782
2017-08-08,0.0,0.1967
2017-08-09,0.015,0.1841
2017-08-10,0.015,0.1809
2017-08-11,0.015,0.1778
2017-08-12,0.0,0.1716
2017-08-13,0.0,0.1657
2017-08-14,0.0,0.1683
2017-08-15,0.0,0.1577
2017-08-16,0.0,0.1603
2017-08-17,0.0,0.1578
2017-08-18,0.008,0.1569
2017-08-19,0.015,0.1526
2017-08-20,0.0,0.1587
2017-08-21,0.015,0.1958
2017-08-22,0.015,0.2421
2017-08-23,0.015,0.2457
2017-08-24,0.015,0.2173
2017-08-25,0.038,0.2167
2017-08-26,0.008,0.2097
2017-08-27,0.023,0.2017
2017-08-28,0.0,0.2252
2017-08-29,0.0,0.2199
2017-08-30,0.023,0.2319
2017-08-31,0.031,0.2593
2017-09-01,0.031,0.2529
2017-09-02,0.031,0.2252
2017-09-03,0.0,0.2303
2017-09-04,0.015,0.2045
2017-09-05,0.008,0.2168
2017-09-06,0.008,0.2314
2017-09-07,0.008,0.2271
2017-09-08,0.277,0.2122
2017-09-09,0.269,0.213
2017-09-10,0.015,0.2173
2017-09-11,0.031,0.2143
2017-09-12,0.0,0.2095
2017-09-13,0.0,0.1983
2017-09-14,0.0,0.1711
2017-09-15,0.0,0.1846
2017-09-16,0.0,0.1828
2017-09-17,0.008,0.1814
2017-09-18,0.008,0.1933
2017-09-19,0.0,0.1848
2017-09-20,0.008,0.1817
2017-09-21,0.008,0.171
2017-09-22,0.0,0.1728
2017-09-23,0.0,0.1791
2017-09-24,0.0,0.1757
2017-09-25,0.0,0.1846
2017-09-26,0.0,0.1892
2017-09-27,0.0,0.2099
2017-09-28,0.0,0.2023
2017-09-29,0.062,0.1967
2017-09-30,0.062,0.1999
2017-10-01,0.0,0.2083
2017-10-02,0.015,0.2031
2017-10-03,0.0,0.2033
2017-10-04,0.062,0.2135
2017-10-05,0.0,0.238
2017-10-06,0.0,0.2334
2017-10-07,0.0,0.2397
2017-10-08,0.015,0.2799
2017-10-09,0.008,0.2501
2017-10-10,0.008,0.2582
2017-10-11,0.008,0.2632
2017-10-12,0.008,0.2464
2017-10-13,0.031,0.2602
2017-10-14,0.031,0.2556
2017-10-15,0.0,0.2652
2017-10-16,0.0,0.2579
2017-10-17,0.0,0.2295
2017-10-18,0.0,0.217
2017-10-19,0.0,0.2139
2017-10-20,0.0,0.2082
2017-10-21,0.0,0.2097
2017-10-22,0.0,0.2014
2017-10-23,0.0,0.1917
2017-10-24,0.0,0.2038
2017-10-25,0.0,0.2023
2017-10-26,0.0,0.2019
2017-10-27,0.0,0.2001
2017-10-28,0.0,0.1982
2017-10-29,0.008,0.2015
2017-10-30,0.023,0.2024
2017-10-31,0.023,0.1975
2017-11-01,0.0,0.1903
2017-11-02,0.015,0.2003
2017-11-03,0.023,0.2059
2017-11-04,0.023,0.2015
2017-11-05,0.023,0.1997
2017-11-06,0.023,0.2013
2017-11-07,0.023,0.2055
2017-11-08,0.015,0.2167
2017-11-09,0.008,0.2154
2017-11-10,0.008,0.2033
2017-11-11,0.008,0.2092
2017-11-12,0.008,0.1915
2017-11-13,0.008,0.2001
2017-11-14,0.008,0.205
2017-11-15,0.008,0.2083
2017-11-16,0.0,0.2269
2017-11-17,0.0,0.2239
2017-11-18,0.0,0.2275
2017-11-19,0.077,0.2321
2017-11-20,0.362,0.2406
2017-11-21,0.269,0.2318
2017-11-22,0.577,0.2385
2017-11-23,1.0,0.24
2017-11-24,0.323,0.241
2017-11-25,0.623,0.2488
2017-11-26,0.592,0.245
2017-11-27,0.385,0.247
2017-11-28,0.608,0.2795
2017-11-29,0.646,0.2353
2017-11-30,0.231,0.2356
2017-12-01,0.231,0.2473
