created_at,trend,adjusted_close
2016-11-17,0.071,84.47
2016-11-18,0.092,68.07
2016-11-19,0.007,62.92
2016-11-21,0.007,55.01
2016-11-22,0.007,59.59
2016-11-23,0.007,81.19
2016-12-03,0.007,58.0
2016-12-04,0.149,57.85
2016-12-05,0.05,50.0
2016-12-06,0.0,49.25
2016-12-17,0.0,35.9
2017-01-16,0.0,43.42
2017-01-22,0.0,42.9
2017-03-24,0.021,62.89
2017-04-12,0.007,62.32
2017-04-18,0.078,69.71
2017-04-19,0.0,70.0
2017-04-21,0.0,68.83
2017-04-24,0.0,67.58
2017-04-25,0.0,69.9
2017-04-27,0.0,78.4
2017-04-30,0.0,92.72
2017-05-12,0.0,96.52
2017-05-14,0.014,95.95
2017-05-25,0.007,216.74
2017-05-31,0.007,231.36
2017-06-05,0.021,246.46
2017-06-06,0.007,256.8
2017-06-15,0.007,394.77
2017-06-19,0.007,401.68
2017-06-20,0.0,410.68
2017-06-22,0.0,379.23
2017-06-23,0.014,374.68
2017-06-30,0.05,291.72
2017-07-01,0.0,275.39
2017-07-02,0.021,293.63
2017-07-08,0.028,249.8
2017-07-11,0.007,176.76
2017-07-12,0.0,211.4
2017-07-14,0.0,177.06
2017-07-16,0.177,163.34
2017-07-17,0.199,179.21
2017-07-18,0.0,200.07
2017-07-19,0.007,181.23
2017-07-20,0.057,209.58
2017-07-22,0.007,218.97
2017-07-24,0.014,210.78
2017-07-25,0.0,186.7
2017-07-26,0.014,189.18
2017-07-27,0.007,186.74
2017-07-29,0.014,186.02
2017-07-31,0.028,172.29
2017-08-01,0.021,189.89
2017-08-02,0.007,188.7
2017-08-03,0.0,187.94
2017-08-05,0.007,205.53
2017-08-09,0.021,241.86
2017-08-11,0.007,235.3
2017-08-14,0.0,210.69
2017-08-15,0.007,212.03
2017-08-16,0.021,217.24
2017-08-17,0.0,208.9
2017-08-22,0.007,226.03
2017-08-23,0.028,227.68
2017-08-24,0.021,227.48
2017-08-26,0.007,299.63
2017-08-27,0.0,273.78
2017-08-28,0.0,276.17
2017-08-30,0.0,275.18
2017-08-31,0.007,286.49
2017-09-01,0.007,306.36
2017-09-02,0.0,251.87
2017-09-04,0.007,219.9
2017-09-07,0.028,248.11
2017-09-08,0.028,220.97
2017-09-09,0.007,219.25
2017-09-11,0.007,213.69
2017-09-14,0.007,161.93
2017-09-17,0.0,177.04
2017-09-21,0.078,175.41
2017-09-23,0.106,204.83
2017-09-24,0.17,205.57
2017-09-25,0.035,231.3
2017-09-27,0.0,286.72
2017-09-29,0.603,289.83
2017-09-30,0.411,278.0
2017-10-01,0.113,265.54
2017-10-02,0.057,257.0
2017-10-03,0.014,252.65
2017-10-04,0.007,237.31
2017-10-05,0.0,256.03
2017-10-09,0.284,229.39
2017-10-10,0.099,234.53
2017-10-11,0.007,236.24
2017-10-12,0.0,226.92
2017-10-13,0.014,238.93
2017-10-14,0.0,239.66
2017-10-16,0.0,233.25
2017-10-17,0.0,229.99
2017-10-28,0.0,228.86
2017-10-30,0.0,239.75
2017-10-31,0.0,232.12
2017-11-01,0.021,221.21
2017-11-02,0.007,216.68
2017-11-05,0.007,224.97
2017-11-06,0.007,227.2
2017-11-09,0.0,260.77
2017-11-10,0.0,235.85
2017-11-13,0.014,263.17
2017-11-19,0.0,299.66
2017-11-20,0.404,303.86
2017-11-21,0.028,289.52
2017-11-22,0.021,318.26
2017-11-23,0.007,309.63
2017-11-24,0.057,348.83
2017-11-25,0.078,343.32
2017-11-26,0.007,336.43
2017-11-27,0.05,344.77
2017-11-28,0.078,361.1
2017-11-29,0.021,302.09
2017-11-30,0.028,301.87
2017-12-01,0.078,330.71
2017-12-02,0.014,325.7
2017-12-03,0.007,318.68
2017-12-04,0.021,326.92
2017-12-05,0.901,320.89
2017-12-06,0.05,314.75
2017-12-07,0.028,292.29
2017-12-08,0.021,319.03
2017-12-09,0.014,308.05
2017-12-10,0.085,283.89
2017-12-11,0.064,316.05
2017-12-12,0.057,364.14
2017-12-13,1.0,410.78
2017-12-14,0.858,504.97
2017-12-15,0.064,463.78
2017-12-16,0.014,465.07
2017-12-17,0.05,527.14
2017-12-18,0.071,583.72
2017-12-19,0.05,589.89
2017-12-20,0.05,666.0
2017-12-21,0.064,646.99
2017-12-22,0.163,481.99
2017-12-23,0.085,522.2
2017-12-24,0.142,519.38
2017-12-25,0.043,516.98
2017-12-26,0.035,546.2
2017-12-27,0.085,517.26
2017-12-28,0.05,478.64
2017-12-29,0.057,519.04
2017-12-30,0.021,446.56
2017-12-31,0.021,479.29
2018-01-01,0.05,518.49
2018-01-02,0.057,549.2
2018-01-03,0.028,559.08
2018-01-04,0.021,546.95
2018-01-05,0.064,545.66
2018-01-07,0.106,757.17
2018-01-08,0.057,692.64
2018-01-09,0.021,668.82
2018-01-10,0.064,716.8
2018-01-11,0.014,645.23
2018-01-12,0.057,700.05
2018-01-13,0.014,699.64
2018-01-14,0.021,668.41
2018-01-15,0.0,625.49
2018-01-16,0.085,506.33
2018-01-17,0.106,496.03
2018-01-18,0.106,483.03
2018-01-19,0.064,525.63
2018-01-20,0.007,559.96
2018-01-21,0.021,489.03
2018-01-22,0.028,445.71
2018-01-24,0.021,457.96
2018-01-25,0.106,473.99
2018-01-26,0.057,456.94
2018-01-27,0.071,454.83
2018-01-28,0.043,476.17
2018-01-29,0.05,446.53
