asset,trend,lag,p-value,corr
bitcoin|btc,data/BTC,2,0.014821051139294423,0.2061238898544121
bitcoin|btc,data/BTC,3,0.0089866360039561,0.15367574164414913
bitcoin|btc,data/BTC,4,0.017610644807627588,0.21877133440190655
bitcoin|btc,data/BTC,5,0.009980493404295165,0.22223342536206794
bitcoin|btc,data/BTC,6,0.016510454376412388,0.14928581717279857
bitcoin|btc,data/BTC,7,0.02129856598400986,0.12396066359826889
bitcoin|btc,data/BTC,8,0.03546642641339103,0.0878160251656367
bitcoin|btc,data/BTC,9,0.022043942609531568,0.02948393693877695
bitcoin|btc,data/BTC,10,0.022213831221510553,0.01172862342731365
bitcoin|btc,data/BTC,11,0.027586833134056098,0.09174729950751478
bitcoin|btc,data/BTC,12,0.03855369684429537,0.10387677553146055
bitcoin|btc,data/BTC,13,0.029414564261304937,0.14140623902733482
bitcoin|btc,data/BTC,14,0.04439953124618052,0.13374289601883158
bitcoin|btc,data/BTC,16,0.01558754913414375,-0.05673322146252037
bitcoin|btc,data/BTC,17,0.02002840333616795,-0.08560448034935256
bitcoin|btc,data/BTC,18,0.037811026628785126,-0.08936278941443696
ethereum|eth,data/ETH,3,0.006552318718039484,0.17640175712891654
ethereum|eth,data/ETH,4,0.010877235963586685,0.15774178749320442
ethereum|eth,data/ETH,5,0.02418890102466002,0.09040053890035787
ethereum|eth,data/ETH,6,0.045643643625510474,0.10333411110954063
litecoin|ltc,data/LTC,2,0.006969059699388949,0.09623095799402188
litecoin|ltc,data/LTC,4,0.002145912196659361,0.2220708267821765
litecoin|ltc,data/LTC,5,0.0040394877039999985,0.1139581517090505
monero|xmr,data/XMR,2,0.011953620915798635,0.1547224046609484
monero|xmr,data/XMR,3,0.008016534271947323,0.10226364462811688
monero|xmr,data/XMR,4,0.018951103492834465,0.12774281799354675
monero|xmr,data/XMR,5,0.0006216604926209812,0.17452437243702543
monero|xmr,data/XMR,6,0.0007133737108842255,0.06331274453260674
monero|xmr,data/XMR,7,0.0010264137106769267,0.09619744120261302
monero|xmr,data/XMR,8,0.0009025788129956188,0.0659717249568528
monero|xmr,data/XMR,9,0.000733653847401065,0.1374245268907286
monero|xmr,data/XMR,10,0.0008239978533996476,0.010666922654749358
monero|xmr,data/XMR,11,0.0024478735351690924,0.06731116641816184
monero|xmr,data/XMR,12,0.003936840549757567,0.006928980748543733
monero|xmr,data/XMR,13,0.004929158253719834,0.0569062074754707
monero|xmr,data/XMR,14,0.003998199870689232,0.10305851035194602
monero|xmr,data/XMR,15,0.006995831312649243,0.051407166646966325
monero|xmr,data/XMR,16,0.0059593436157451725,0.13765179233262023
monero|xmr,data/XMR,17,0.003047871479527497,0.014092473944294859
monero|xmr,data/XMR,18,0.0028033290576022257,0.13603244826715286
monero|xmr,data/XMR,19,0.004104024903220736,0.08218796008377985
monero|xmr,data/XMR,20,0.002903169299779676,0.04728929309388174
monero|xmr,data/XMR,21,0.004706882749219567,0.10323121124572222
monero|xmr,data/XMR,22,0.005458755378705029,0.03332925236865101
monero|xmr,data/XMR,23,0.007397296944125392,0.06634552050260668
monero|xmr,data/XMR,24,0.011620887289754,0.024395469371493485
monero|xmr,data/XMR,25,0.011403016416681391,-0.006939349357730104
monero|xmr,data/XMR,26,0.01812837942778333,0.006801077513930627
monero|xmr,data/XMR,27,0.03581831380746238,0.001896081731311595
